Year-Month,Close
2016-03,23.989133017403738
2016-04,24.174309230986097
2016-05,21.62230736868722
2016-06,22.01629049127752
2016-07,22.45702362060547
2016-08,24.648450768512227
2016-09,25.396678379603795
2016-10,26.50778343563988
2016-11,25.35272888910203
2016-12,26.328080404372443
2017-01,27.533378887176514
2017-02,30.882861589130602
2017-03,32.520447109056555
2017-04,33.04520135176809
2017-05,35.298828125
2017-06,34.32982895591042
2017-07,34.438537788391116
2017-08,37.02982678620712
2017-09,36.744029426574706
2017-10,36.79270432212136
2017-11,40.29014133271717
2017-12,40.217957496643066
2018-01,40.712516603015715
2018-02,39.33456701981394
2018-03,40.99384471348354
2018-04,39.89863550095331
2018-05,43.69574824246493
2018-06,44.48311051868257
2018-07,44.88166790916806
2018-08,50.43834022853685
2018-09,52.55592245804636
2018-10,52.26530008730681
2018-11,45.37463814871652
2018-12,39.01088433516653
2019-01,36.61224892025902
2019-02,40.91186443128084
2019-03,43.71633039202009
2019-04,47.823941185360866
2019-05,45.73484906283292
2019-06,46.201140594482425
2019-07,49.133437243374914
2019-08,49.20812173323198
2019-09,52.39123668670654
2019-10,56.54694565482762
2019-11,63.24449863433838
2019-12,66.65758314586822
2020-01,75.18859173002697
2020-02,75.17265641061883
2020-03,63.41329297152433
2020-04,65.81556120372954
2020-05,75.05475006103515
2020-06,83.78196473555131
2020-07,92.61515808105469
2020-08,113.8456784202939
2020-09,111.77132633754185
2020-10,113.02175556529652
2020-11,113.5802719116211
2020-12,123.79534634676847
2021-01,129.3839549014443
2021-02,128.0698370682566
2021-03,118.70211128566577
2021-04,128.38513655889602
2021-05,123.65394172668456
2021-06,126.79413882168856
2021-07,141.6053750174386
2021-08,144.74720764160156
2021-09,144.9117184593564
2021-10,142.2321087065197
2021-11,150.9041987827846
2021-12,169.8279037475586
2022-01,166.21590118408204
2022-02,166.36247012489721
2022-03,161.96860670006794
2022-04,163.44863739013672
2022-05,145.59966532389322
2022-06,137.1737314860026
2022-07,146.86029739379882
2022-08,163.9405278744905
2022-09,150.338620140439
2022-10,142.48822748093377
2022-11,143.50775437127976
2022-12,135.700564066569
2023-01,133.6360061645508
2023-02,148.7287268387644
2023-03,152.75184963060462
2023-04,162.68889417146383
2023-05,170.29770729758522
2023-06,181.90298171270462
2023-07,189.92616271972656
2023-08,178.90071371327275
2023-09,174.95212936401367
2023-10,172.64530251242897
2023-11,183.8905748639788
2023-12,192.31067962646483
2024-01,185.7941625685919
2024-02,183.03786697387696
2024-03,171.13898773193358
2024-04,168.07492204145953
2024-05,184.77942380038175
2024-06,204.6801549008018
2024-07,222.87492578679866
2024-08,220.11375427246094
2024-09,222.29774856567383
2024-10,228.5547339397928
2024-11,226.5116729736328
2024-12,247.96827915736608
2025-01,233.3124801635742
2025-02,237.41222502055922
2025-03,221.73643638974144
2025-04,200.31077139718192
2025-05,203.24083746047248
2025-06,200.04823684692383
2025-07,210.639911998402
2025-08,224.15127854120163
2025-09,242.02488417852493
2025-10,257.80383765179175
2025-11,271.33374184056333
2025-12,276.0480582497337
2026-01,257.40863647460935
2026-02,269.1110133120888
2026-03,261.3499973842076
